date,jobDelivered,JobExpected
20220208-08,0,1
20220208-09,0,1
20220208-10,0,1
20220208-11,0,1
20220208-12,0,1
20220208-13,0,1
20220208-14,0,1
20220208-15,0,1
20220208-16,0,1
20220208-17,0,1
20220208-18,0,1
20220208-19,0,1
20220208-20,0,1
20220208-21,0,1
20220208-22,0,1
20220208-23,0,1
20220209-00,0,1
20220209-01,0,1
20220209-02,0,1
20220209-03,0,1
20220209-04,0,1
20220209-05,0,1
20220209-06,0,1
20220209-07,0,1
20220209-08,0,1
20220209-09,0,1
20220209-10,0,1
20220209-11,0,1
20220209-12,0,1
20220209-13,0,1
20220209-14,0,1
20220209-15,0,1
20220209-16,0,1
20220209-17,0,1
20220209-18,0,1
20220209-19,0,1
20220209-20,0,1
20220209-21,0,1
20220209-22,0,1
20220209-23,0,1
20220210-00,0,1
20220210-01,0,1
20220210-02,0,1
20220210-03,0,1
20220210-04,0,1
20220210-05,0,1
20220210-06,0,1
20220210-07,0,1
20220210-08,0,1
20220210-09,0,1
20220210-10,0,1
20220210-11,0,1
20220210-12,0,1
20220210-13,0,1
20220210-14,0,1
20220210-15,0,1
20220210-16,0,1
20220210-17,0,1
20220210-18,0,1
20220210-19,0,1
20220210-20,0,1
20220210-21,0,1
20220210-22,0,1
20220210-23,0,1
20220211-00,0,1
20220211-01,0,1
20220211-02,0,1
20220211-03,0,1
20220211-04,0,1
20220211-05,0,1
20220211-06,0,1
20220211-07,0,1
20220211-08,0,1
20220211-09,0,1
20220211-10,0,1
20220211-11,0,1
20220211-12,0,1
20220211-13,0,1
20220211-14,0,1
20220211-15,0,1
20220211-16,0,1
20220211-17,0,1
20220211-18,0,1
20220211-19,0,1
20220211-20,0,1
20220211-21,0,1
20220211-22,0,1
20220211-23,0,1
20220212-00,0,1
20220212-01,0,1
20220212-02,0,1
20220212-03,0,1
20220212-04,0,1
20220212-05,0,1
20220212-06,0,1
20220212-07,0,1
20220212-08,0,1
20220212-09,0,1
20220212-10,0,1
20220212-11,0,1
20220212-12,0,1
20220212-13,0,1
20220212-14,0,1
20220212-15,0,1
20220212-16,0,1
20220212-17,0,1
20220212-18,0,1
20220212-19,0,1
20220212-20,0,1
20220212-21,0,1
20220212-22,0,1
20220212-23,0,1
20220213-00,0,1
20220213-01,0,1
20220213-02,0,1
20220213-03,0,1
20220213-04,0,1
20220213-05,0,1
20220213-06,0,1
20220213-07,0,1
20220213-08,0,1
20220213-09,0,1
20220213-10,0,1
20220213-11,0,1
20220213-12,0,1
20220213-13,0,1
20220213-14,0,1
20220213-15,0,1
20220213-16,0,1
20220213-17,0,1
20220213-18,0,1
20220213-19,0,1
20220213-20,0,1
20220213-21,0,1
20220213-22,0,1
20220213-23,0,1
20220214-00,0,1
20220214-01,0,1
20220214-02,0,1
20220214-03,0,1
20220214-04,0,1
20220214-05,0,1
20220214-06,0,1
20220214-07,0,1
20220214-08,0,1
20220214-09,0,1
20220214-10,0,1
20220214-11,0,1
20220214-12,0,1
20220214-13,0,1
20220214-14,0,1
20220214-15,0,1
20220214-16,0,1
20220214-17,0,1
20220214-18,0,1
20220214-19,0,1
20220214-20,0,1
20220214-21,0,1
20220214-22,0,1
20220214-23,0,1
20220215-00,0,1
20220215-01,0,1
20220215-02,0,1
20220215-03,0,1
20220215-04,0,1
20220215-05,0,1
20220215-06,0,1
20220215-07,0,1
20220215-08,0,1
20220215-09,0,1
20220215-10,0,1
20220215-11,0,1
20220215-12,0,1
20220215-13,0,1
20220215-14,0,1
20220215-15,0,1
20220215-16,0,1
20220215-17,0,1
20220215-18,0,1
20220215-19,0,1
20220215-20,0,1
20220215-21,0,1
20220215-22,0,1
20220215-23,0,1
20220216-00,0,1
20220216-01,0,1
20220216-02,0,1
20220216-03,0,1
20220216-04,0,1
20220216-05,0,1
20220216-06,0,1
20220216-07,0,1
20220216-08,0,1
20220216-09,0,1
20220216-10,0,1
20220216-11,0,1
20220216-12,0,1
20220216-13,0,1
20220216-14,0,1
20220216-15,0,1
20220216-16,0,1
20220216-17,0,1
20220216-18,0,1
20220216-19,0,1
20220216-20,0,1
20220216-21,0,1
20220216-22,0,1
20220216-23,0,1
20220217-00,0,1
20220217-01,0,1
20220217-02,0,1
20220217-03,0,1
20220217-04,0,1
20220217-05,0,1
20220217-06,0,1
20220217-07,0,1
20220217-08,0,1
20220217-09,0,1
20220217-10,0,1
20220217-11,0,1
20220217-12,0,1
20220217-13,0,1
20220217-14,0,1
20220217-15,0,1
20220217-16,0,1
20220217-17,0,1
20220217-18,0,1
20220217-19,0,1
20220217-20,0,1
20220217-21,0,1
20220217-22,0,1
20220217-23,0,1
20220218-00,0,1
20220218-01,0,1
20220218-02,0,1
20220218-03,0,1
20220218-04,0,1
20220218-05,0,1
20220218-06,0,1
20220218-07,0,1
20220218-08,0,1
20220218-09,0,1
20220218-10,0,1
20220218-11,0,1
20220218-12,0,1
20220218-13,0,1
20220218-14,0,1
20220218-15,0,1
20220218-16,0,1
20220218-17,0,1
20220218-18,0,1
20220218-19,0,1
20220218-20,0,1
20220218-21,0,1
20220218-22,0,1
20220218-23,0,1
20220219-00,0,1
20220219-01,0,1
20220219-02,0,1
20220219-03,0,1
20220219-04,0,1
20220219-05,0,1
20220219-06,0,1
20220219-07,0,1
20220219-08,0,1
20220219-09,0,1
20220219-10,0,1
20220219-11,0,1
20220219-12,0,1
20220219-13,0,1
20220219-14,0,1
20220219-15,0,1
20220219-16,0,1
20220219-17,0,1
20220219-18,0,1
20220219-19,0,1
20220219-20,0,1
20220219-21,0,1
20220219-22,0,1
20220219-23,0,1
20220220-00,0,1
20220220-01,0,1
20220220-02,0,1
20220220-03,0,1
20220220-04,0,1
20220220-05,0,1
20220220-06,0,1
20220220-07,0,1
20220220-08,0,1
20220220-09,0,1
20220220-10,0,1
20220220-11,0,1
20220220-12,0,1
20220220-13,0,1
20220220-14,0,1
20220220-15,0,1
20220220-16,0,1
20220220-17,0,1
20220220-18,0,1
20220220-19,0,1
20220220-20,0,1
20220220-21,0,1
20220220-22,0,1
20220220-23,0,1
20220221-00,0,1
20220221-01,0,1
20220221-02,0,1
20220221-03,0,1
20220221-04,0,1
20220221-05,0,1
20220221-06,0,1
20220221-07,0,1
20220221-08,0,1
20220221-09,0,1
20220221-10,0,1
20220221-11,0,1
20220221-12,0,1
20220221-13,0,1
20220221-14,0,1
20220221-15,0,1
20220221-16,0,1
20220221-17,0,1
20220221-18,0,1
20220221-19,0,1
20220221-20,0,1
20220221-21,0,1
20220221-22,0,1
20220221-23,0,1
20220222-00,0,1
20220222-01,0,1
20220222-02,0,1
20220222-03,0,1
20220222-04,0,1
20220222-05,0,1
20220222-06,0,1
20220222-07,0,1
20220222-08,1,1
20220222-09,0,1
20220222-10,1,1
20220222-11,1,1
20220222-12,1,1
20220222-13,1,1
20220222-14,1,1
20220222-15,1,1
20220222-16,0,1
20220222-17,1,1
20220222-18,1,1
20220222-19,1,1
20220222-20,0,1
20220222-21,0,1
20220222-22,1,1
20220222-23,0,1
20220223-00,0,1
20220223-01,1,1
20220223-02,1,1
20220223-03,1,1
20220223-04,0,1
20220223-05,1,1
20220223-06,1,1
20220223-07,0,1
20220223-08,1,1
20220223-09,0,1
20220223-10,0,1
20220223-11,1,1
20220223-12,1,1
20220223-13,1,1
20220223-14,1,1
20220223-15,0,1
20220223-16,1,1
20220223-17,0,1
20220223-18,0,1
